,din_instante,hora,dia_semana,mes,carga_mw
3,2023-01-01 00:00:00,0,6,1,32183.88499999
7,2023-01-01 01:00:00,1,6,1,32196.682
11,2023-01-01 02:00:00,2,6,1,31539.57
15,2023-01-01 03:00:00,3,6,1,30699.36699999
19,2023-01-01 04:00:00,4,6,1,30126.19499999
23,2023-01-01 05:00:00,5,6,1,28687.157
27,2023-01-01 06:00:00,6,6,1,27327.244
31,2023-01-01 07:00:00,7,6,1,26590.855
35,2023-01-01 08:00:00,8,6,1,26260.21999999
39,2023-01-01 09:00:00,9,6,1,26281.324
43,2023-01-01 10:00:00,10,6,1,26871.891
47,2023-01-01 11:00:00,11,6,1,27637.95699999
51,2023-01-01 12:00:00,12,6,1,27940.96399999
55,2023-01-01 13:00:00,13,6,1,27566.566
59,2023-01-01 14:00:00,14,6,1,27981.53699999
63,2023-01-01 15:00:00,15,6,1,28963.128
67,2023-01-01 16:00:00,16,6,1,30836.365
71,2023-01-01 17:00:00,17,6,1,33219.686
75,2023-01-01 18:00:00,18,6,1,36098.15799999
79,2023-01-01 19:00:00,19,6,1,39335.642
83,2023-01-01 20:00:00,20,6,1,39796.14799999
87,2023-01-01 21:00:00,21,6,1,39196.848
91,2023-01-01 22:00:00,22,6,1,37927.261
95,2023-01-01 23:00:00,23,6,1,35985.53699999
99,2023-01-02 00:00:00,0,0,1,34049.364
103,2023-01-02 01:00:00,1,0,1,32526.95099999
107,2023-01-02 02:00:00,2,0,1,31521.123
111,2023-01-02 03:00:00,3,0,1,30986.82099999
115,2023-01-02 04:00:00,4,0,1,30900.032
119,2023-01-02 05:00:00,5,0,1,30826.663
123,2023-01-02 06:00:00,6,0,1,31502.834
127,2023-01-02 07:00:00,7,0,1,32999.64199999
131,2023-01-02 08:00:00,8,0,1,34781.517
135,2023-01-02 09:00:00,9,0,1,35801.19399999
139,2023-01-02 10:00:00,10,0,1,36661.88399999
143,2023-01-02 11:00:00,11,0,1,37244.462
147,2023-01-02 12:00:00,12,0,1,37689.203
151,2023-01-02 13:00:00,13,0,1,39054.559
155,2023-01-02 14:00:00,14,0,1,40251.552
159,2023-01-02 15:00:00,15,0,1,41197.776
163,2023-01-02 16:00:00,16,0,1,41979.28999999
167,2023-01-02 17:00:00,17,0,1,41586.013
171,2023-01-02 18:00:00,18,0,1,42295.00999999
175,2023-01-02 19:00:00,19,0,1,45292.648
179,2023-01-02 20:00:00,20,0,1,45280.91699999
183,2023-01-02 21:00:00,21,0,1,44391.42299999
187,2023-01-02 22:00:00,22,0,1,42243.18799999
191,2023-01-02 23:00:00,23,0,1,39662.88499999
195,2023-01-03 00:00:00,0,1,1,37255.669
199,2023-01-03 01:00:00,1,1,1,35435.53899999
203,2023-01-03 02:00:00,2,1,1,34238.599
207,2023-01-03 03:00:00,3,1,1,33620.26799999
211,2023-01-03 04:00:00,4,1,1,33708.076
215,2023-01-03 05:00:00,5,1,1,33805.43799999
219,2023-01-03 06:00:00,6,1,1,34591.14599999
223,2023-01-03 07:00:00,7,1,1,36532.816
227,2023-01-03 08:00:00,8,1,1,38362.309
231,2023-01-03 09:00:00,9,1,1,39382.245
235,2023-01-03 10:00:00,10,1,1,39803.865
239,2023-01-03 11:00:00,11,1,1,40022.49099999
243,2023-01-03 12:00:00,12,1,1,39972.919
247,2023-01-03 13:00:00,13,1,1,41121.391
251,2023-01-03 14:00:00,14,1,1,42101.284
255,2023-01-03 15:00:00,15,1,1,43270.62999999
259,2023-01-03 16:00:00,16,1,1,43966.149
263,2023-01-03 17:00:00,17,1,1,43135.51
267,2023-01-03 18:00:00,18,1,1,43757.852
271,2023-01-03 19:00:00,19,1,1,46775.589
275,2023-01-03 20:00:00,20,1,1,46907.287
279,2023-01-03 21:00:00,21,1,1,46000.195
283,2023-01-03 22:00:00,22,1,1,43938.84099999
287,2023-01-03 23:00:00,23,1,1,41278.71
291,2023-01-04 00:00:00,0,2,1,38789.865
295,2023-01-04 01:00:00,1,2,1,37007.24699999
299,2023-01-04 02:00:00,2,2,1,35838.513
303,2023-01-04 03:00:00,3,2,1,35278.954
307,2023-01-04 04:00:00,4,2,1,35243.938
311,2023-01-04 05:00:00,5,2,1,35344.94399999
315,2023-01-04 06:00:00,6,2,1,36124.83599999
319,2023-01-04 07:00:00,7,2,1,38349.23599999
323,2023-01-04 08:00:00,8,2,1,40110.332
327,2023-01-04 09:00:00,9,2,1,40867.911
331,2023-01-04 10:00:00,10,2,1,41093.32299999
335,2023-01-04 11:00:00,11,2,1,40785.23799999
339,2023-01-04 12:00:00,12,2,1,40437.394
343,2023-01-04 13:00:00,13,2,1,41456.08999999
347,2023-01-04 14:00:00,14,2,1,42586.69599999
351,2023-01-04 15:00:00,15,2,1,43540.864
355,2023-01-04 16:00:00,16,2,1,44104.361
359,2023-01-04 17:00:00,17,2,1,43546.355
363,2023-01-04 18:00:00,18,2,1,44117.605
367,2023-01-04 19:00:00,19,2,1,46594.99599999
371,2023-01-04 20:00:00,20,2,1,46424.75899999
